Well Name;Partition;Content;Freeze Temp;Frozen Fraction
F3;A;MilliQ_RAW_DEMO;-26.46605178;0.88541667
G3;A;MilliQ_RAW_DEMO;-24.95535303;0.70833333
H3;A;MilliQ_RAW_DEMO;-22.59033766;0.42708333
I3;A;MilliQ_RAW_DEMO;-27.11423886;0.92708333
J3;A;MilliQ_RAW_DEMO;-24.84921944;0.67708333
K3;A;MilliQ_RAW_DEMO;-25.08856947;0.71875000
L3;A;MilliQ_RAW_DEMO;-25.38132809;0.76041667
M3;A;MilliQ_RAW_DEMO;-18.91324478;0.10416667
N3;A;MilliQ_RAW_DEMO;-25.62264623;0.78125000
O3;A;MilliQ_RAW_DEMO;-26.01209933;0.86458333
P3;A;MilliQ_RAW_DEMO;-21.65040805;0.30208333
A4;A;MilliQ_RAW_DEMO;-22.30045234;0.37500000
B4;A;MilliQ_RAW_DEMO;-22.04612821;0.33333333
C4;A;MilliQ_RAW_DEMO;-22.58095580;0.41666667
D4;A;MilliQ_RAW_DEMO;-21.78518279;0.31250000
E4;A;MilliQ_RAW_DEMO;-22.73372940;0.44791667
F4;A;MilliQ_RAW_DEMO;-25.67781741;0.80208333
G4;A;MilliQ_RAW_DEMO;-25.09669791;0.73958333
H4;A;MilliQ_RAW_DEMO;-20.91088311;0.21875000
I4;A;MilliQ_RAW_DEMO;-21.24513598;0.25000000
J4;A;MilliQ_RAW_DEMO;-22.30513354;0.38541667
K4;A;MilliQ_RAW_DEMO;-22.57028113;0.40625000
L4;A;MilliQ_RAW_DEMO;-22.71654456;0.43750000
M4;A;MilliQ_RAW_DEMO;-18.81527369;0.09375000
N4;A;MilliQ_RAW_DEMO;-21.33267842;0.27083333
O4;A;MilliQ_RAW_DEMO;-20.58578745;0.18750000
P4;A;MilliQ_RAW_DEMO;-19.75792309;0.14583333
A5;A;MilliQ_RAW_DEMO;-26.01780937;0.87500000
B5;A;MilliQ_RAW_DEMO;-21.28302883;0.26041667
C5;A;MilliQ_RAW_DEMO;-24.58870527;0.63541667
D5;A;MilliQ_RAW_DEMO;-21.50176656;0.29166667
E5;A;MilliQ_RAW_DEMO;-24.48912804;0.62500000
F5;A;MilliQ_RAW_DEMO;-24.77284320;0.65625000
G5;A;MilliQ_RAW_DEMO;-28.25707950;0.98958333
H5;A;MilliQ_RAW_DEMO;-23.31509709;0.52083333
I5;A;MilliQ_RAW_DEMO;-27.53383023;0.95833333
J5;A;MilliQ_RAW_DEMO;-27.68864290;0.96875000
K5;A;MilliQ_RAW_DEMO;-25.66294906;0.79166667
L5;A;MilliQ_RAW_DEMO;-15.36944580;0.03125000
M5;A;MilliQ_RAW_DEMO;-25.26200407;0.75000000
N5;A;MilliQ_RAW_DEMO;-26.68243049;0.90625000
O5;A;MilliQ_RAW_DEMO;-24.84045355;0.66666667
P5;A;MilliQ_RAW_DEMO;-24.39769493;0.61458333
A6;A;MilliQ_RAW_DEMO;-18.77374120;0.08333333
B6;A;MilliQ_RAW_DEMO;-27.06387815;0.91666667
C6;A;MilliQ_RAW_DEMO;-21.97547837;0.32291667
D6;A;MilliQ_RAW_DEMO;-25.09299505;0.72916667
E6;A;MilliQ_RAW_DEMO;-24.84989160;0.68750000
F6;A;MilliQ_RAW_DEMO;-27.74419223;0.97916667
G6;A;MilliQ_RAW_DEMO;-25.81812147;0.82291667
H6;A;MilliQ_RAW_DEMO;-25.61939002;0.77083333
I6;A;MilliQ_RAW_DEMO;-28.28506931;1.00000000
J6;A;MilliQ_RAW_DEMO;-14.59473881;0.01041667
K6;A;MilliQ_RAW_DEMO;-25.86761737;0.85416667
L6;A;MilliQ_RAW_DEMO;-25.83683165;0.83333333
M6;A;MilliQ_RAW_DEMO;-25.76459148;0.81250000
N6;A;MilliQ_RAW_DEMO;-22.12368744;0.35416667
O6;A;MilliQ_RAW_DEMO;-22.09613157;0.34375000
P6;A;MilliQ_RAW_DEMO;-19.36176565;0.13541667
A7;B;RAW_DEMO_SAMPLE;-4.78123474;0.64583333
B7;B;RAW_DEMO_SAMPLE;-4.50797001;0.54166667
C7;B;RAW_DEMO_SAMPLE;-5.67978815;0.91666667
D7;B;RAW_DEMO_SAMPLE;-3.15754426;0.14583333
E7;B;RAW_DEMO_SAMPLE;-4.67376410;0.58333333
F7;B;RAW_DEMO_SAMPLE;-5.22853512;0.85416667
G7;B;RAW_DEMO_SAMPLE;-6.10260092;0.97916667
H7;B;RAW_DEMO_SAMPLE;-4.41823923;0.52083333
I7;B;RAW_DEMO_SAMPLE;-4.68555622;0.60416667
J7;B;RAW_DEMO_SAMPLE;-4.99617789;0.77083333
K7;B;RAW_DEMO_SAMPLE;-4.85468726;0.70833333
L7;B;RAW_DEMO_SAMPLE;-4.03463010;0.37500000
M7;B;RAW_DEMO_SAMPLE;-4.83875295;0.68750000
N7;B;RAW_DEMO_SAMPLE;-5.05822169;0.81250000
O7;B;RAW_DEMO_SAMPLE;-3.00512887;0.08333333
P7;B;RAW_DEMO_SAMPLE;-2.83121272;0.02083333
A8;B;RAW_DEMO_SAMPLE;-4.36891135;0.47916667
B8;B;RAW_DEMO_SAMPLE;-4.19981857;0.39583333
C8;B;RAW_DEMO_SAMPLE;-4.20684452;0.41666667
D8;B;RAW_DEMO_SAMPLE;-3.63256114;0.29166667
E8;B;RAW_DEMO_SAMPLE;-5.50009902;0.89583333
F8;B;RAW_DEMO_SAMPLE;-4.77245277;0.62500000
G8;B;RAW_DEMO_SAMPLE;-6.13763664;1.00000000
H8;B;RAW_DEMO_SAMPLE;-3.82454802;0.33333333
I8;B;RAW_DEMO_SAMPLE;-4.83169513;0.66666667
J8;B;RAW_DEMO_SAMPLE;-5.00169513;0.79166667
K8;B;RAW_DEMO_SAMPLE;-5.06151157;0.83333333
L8;B;RAW_DEMO_SAMPLE;-3.06270071;0.12500000
M8;B;RAW_DEMO_SAMPLE;-4.86537267;0.72916667
N8;B;RAW_DEMO_SAMPLE;-4.26031175;0.43750000
O8;B;RAW_DEMO_SAMPLE;-3.62552139;0.27083333
P8;B;RAW_DEMO_SAMPLE;-3.95025926;0.35416667
A9;B;RAW_DEMO_SAMPLE;-3.67353554;0.31250000
B9;B;RAW_DEMO_SAMPLE;-3.53428374;0.20833333
C9;B;RAW_DEMO_SAMPLE;-4.63365603;0.56250000
D9;B;RAW_DEMO_SAMPLE;-3.29132139;0.16666667
E9;B;RAW_DEMO_SAMPLE;-5.68750064;0.93750000
F9;B;RAW_DEMO_SAMPLE;-3.56201395;0.22916667
G9;B;RAW_DEMO_SAMPLE;-4.97016339;0.75000000
H9;B;RAW_DEMO_SAMPLE;-5.79987678;0.95833333
I9;B;RAW_DEMO_SAMPLE;-5.34819030;0.87500000
J9;B;RAW_DEMO_SAMPLE;-4.37965254;0.50000000
K9;B;RAW_DEMO_SAMPLE;-2.85871523;0.04166667
L9;B;RAW_DEMO_SAMPLE;-4.31314243;0.45833333
M9;B;RAW_DEMO_SAMPLE;-2.85960015;0.06250000
N9;B;RAW_DEMO_SAMPLE;-3.60168750;0.25000000
O9;B;RAW_DEMO_SAMPLE;-3.03237025;0.10416667
P9;B;RAW_DEMO_SAMPLE;-3.52346276;0.18750000
A10;C;RAW_DEMO_SAMPLE_10;-6.48061406;0.25000000
B10;C;RAW_DEMO_SAMPLE_10;-6.64675334;0.41666667
C10;C;RAW_DEMO_SAMPLE_10;-6.55851592;0.31250000
D10;C;RAW_DEMO_SAMPLE_10;-6.86550230;0.64583333
E10;C;RAW_DEMO_SAMPLE_10;-7.59017913;0.93750000
F10;C;RAW_DEMO_SAMPLE_10;-7.65779256;0.95833333
G10;C;RAW_DEMO_SAMPLE_10;-7.72643192;0.97916667
H10;C;RAW_DEMO_SAMPLE_10;-6.83527615;0.58333333
I10;C;RAW_DEMO_SAMPLE_10;-8.29499862;1.00000000
J10;C;RAW_DEMO_SAMPLE_10;-6.97554436;0.72916667
K10;C;RAW_DEMO_SAMPLE_10;-7.01157173;0.79166667
L10;C;RAW_DEMO_SAMPLE_10;-7.07502001;0.83333333
M10;C;RAW_DEMO_SAMPLE_10;-7.01879937;0.81250000
N10;C;RAW_DEMO_SAMPLE_10;-6.84878069;0.62500000
O10;C;RAW_DEMO_SAMPLE_10;-6.32915794;0.14583333
P10;C;RAW_DEMO_SAMPLE_10;-5.97929263;0.02083333
A11;C;RAW_DEMO_SAMPLE_10;-6.01277876;0.06250000
B11;C;RAW_DEMO_SAMPLE_10;-6.43239632;0.20833333
C11;C;RAW_DEMO_SAMPLE_10;-6.61657186;0.39583333
D11;C;RAW_DEMO_SAMPLE_10;-6.78415807;0.54166667
E11;C;RAW_DEMO_SAMPLE_10;-6.86705655;0.66666667
F11;C;RAW_DEMO_SAMPLE_10;-7.20860297;0.87500000
G11;C;RAW_DEMO_SAMPLE_10;-7.08434428;0.85416667
H11;C;RAW_DEMO_SAMPLE_10;-6.99019242;0.75000000
I11;C;RAW_DEMO_SAMPLE_10;-6.89260621;0.68750000
J11;C;RAW_DEMO_SAMPLE_10;-6.84329587;0.60416667
K11;C;RAW_DEMO_SAMPLE_10;-6.77841095;0.50000000
L11;C;RAW_DEMO_SAMPLE_10;-6.72012674;0.45833333
M11;C;RAW_DEMO_SAMPLE_10;-7.53515635;0.89583333
N11;C;RAW_DEMO_SAMPLE_10;-6.38493132;0.18750000
O11;C;RAW_DEMO_SAMPLE_10;-6.16968229;0.10416667
P11;C;RAW_DEMO_SAMPLE_10;-6.16010373;0.08333333
A12;C;RAW_DEMO_SAMPLE_10;-6.00239632;0.04166667
B12;C;RAW_DEMO_SAMPLE_10;-6.47519255;0.22916667
C12;C;RAW_DEMO_SAMPLE_10;-6.78320718;0.52083333
D12;C;RAW_DEMO_SAMPLE_10;-7.54235877;0.91666667
E12;C;RAW_DEMO_SAMPLE_10;-6.57398023;0.35416667
F12;C;RAW_DEMO_SAMPLE_10;-6.99355201;0.77083333
G12;C;RAW_DEMO_SAMPLE_10;-6.53939339;0.29166667
H12;C;RAW_DEMO_SAMPLE_10;-6.93774620;0.70833333
I12;C;RAW_DEMO_SAMPLE_10;-6.72260621;0.47916667
J12;C;RAW_DEMO_SAMPLE_10;-6.37180718;0.16666667
K12;C;RAW_DEMO_SAMPLE_10;-6.60809103;0.37500000
L12;C;RAW_DEMO_SAMPLE_10;-6.80722390;0.56250000
M12;C;RAW_DEMO_SAMPLE_10;-6.48791356;0.27083333
N12;C;RAW_DEMO_SAMPLE_10;-6.56384354;0.33333333
O12;C;RAW_DEMO_SAMPLE_10;-6.24101701;0.12500000
P12;C;RAW_DEMO_SAMPLE_10;-6.71559531;0.43750000
A13;D;RAW_DEMO_SAMPLE_100;-18.07964223;0.83333333
B13;D;RAW_DEMO_SAMPLE_100;-18.77584913;0.85416667
C13;D;RAW_DEMO_SAMPLE_100;-10.11362231;0.62500000
D13;D;RAW_DEMO_SAMPLE_100;-7.99522750;0.35416667
E13;D;RAW_DEMO_SAMPLE_100;-9.88403945;0.60416667
F13;D;RAW_DEMO_SAMPLE_100;-7.62387439;0.18750000
G13;D;RAW_DEMO_SAMPLE_100;-7.92775724;0.31250000
H13;D;RAW_DEMO_SAMPLE_100;-18.84939810;0.87500000
I13;D;RAW_DEMO_SAMPLE_100;-7.41826092;0.14583333
J13;D;RAW_DEMO_SAMPLE_100;-13.93387539;0.70833333
K13;D;RAW_DEMO_SAMPLE_100;-9.28157605;0.58333333
L13;D;RAW_DEMO_SAMPLE_100;-22.24942182;0.91666667
M13;D;RAW_DEMO_SAMPLE_100;-9.23364502;0.56250000
N13;D;RAW_DEMO_SAMPLE_100;-7.38258107;0.12500000
O13;D;RAW_DEMO_SAMPLE_100;-11.95308091;0.64583333
P13;D;RAW_DEMO_SAMPLE_100;-6.46292590;0.02083333
A14;D;RAW_DEMO_SAMPLE_100;-17.93309051;0.81250000
B14;D;RAW_DEMO_SAMPLE_100;-24.50573877;0.97916667
C14;D;RAW_DEMO_SAMPLE_100;-8.27757014;0.43750000
D14;D;RAW_DEMO_SAMPLE_100;-14.23097850;0.72916667
E14;D;RAW_DEMO_SAMPLE_100;-8.13052396;0.37500000
F14;D;RAW_DEMO_SAMPLE_100;-22.67725175;0.93750000
G14;D;RAW_DEMO_SAMPLE_100;-24.39183165;0.95833333
H14;D;RAW_DEMO_SAMPLE_100;-26.15328406;1.00000000
I14;D;RAW_DEMO_SAMPLE_100;-7.80660681;0.29166667
J14;D;RAW_DEMO_SAMPLE_100;-19.62327562;0.89583333
K14;D;RAW_DEMO_SAMPLE_100;-13.84392105;0.68750000
L14;D;RAW_DEMO_SAMPLE_100;-7.63916713;0.20833333
M14;D;RAW_DEMO_SAMPLE_100;-8.20192088;0.39583333
N14;D;RAW_DEMO_SAMPLE_100;-7.41860462;0.16666667
O14;D;RAW_DEMO_SAMPLE_100;-7.18481152;0.08333333
P14;D;RAW_DEMO_SAMPLE_100;-8.57180607;0.50000000
A15;D;RAW_DEMO_SAMPLE_100;-8.29868321;0.45833333
B15;D;RAW_DEMO_SAMPLE_100;-15.29771675;0.77083333
C15;D;RAW_DEMO_SAMPLE_100;-8.24820700;0.41666667
D15;D;RAW_DEMO_SAMPLE_100;-7.64835715;0.22916667
E15;D;RAW_DEMO_SAMPLE_100;-7.17950277;0.06250000
F15;D;RAW_DEMO_SAMPLE_100;-14.60378923;0.75000000
G15;D;RAW_DEMO_SAMPLE_100;-7.95430521;0.33333333
H15;D;RAW_DEMO_SAMPLE_100;-9.08571398;0.54166667
I15;D;RAW_DEMO_SAMPLE_100;-8.32963911;0.47916667
J15;D;RAW_DEMO_SAMPLE_100;-8.69131264;0.52083333
K15;D;RAW_DEMO_SAMPLE_100;-7.71776533;0.27083333
L15;D;RAW_DEMO_SAMPLE_100;-7.65227058;0.25000000
M15;D;RAW_DEMO_SAMPLE_100;-15.31875123;0.79166667
N15;D;RAW_DEMO_SAMPLE_100;-7.26115246;0.10416667
O15;D;RAW_DEMO_SAMPLE_100;-6.65044856;0.04166667
P15;D;RAW_DEMO_SAMPLE_100;-12.95094571;0.66666667
A16;E;RAW_DEMO_SAMPLE_1000;-23.53644332;0.77083333
B16;E;RAW_DEMO_SAMPLE_1000;-19.47152064;0.25000000
C16;E;RAW_DEMO_SAMPLE_1000;-19.87771858;0.31250000
D16;E;RAW_DEMO_SAMPLE_1000;-24.24963710;0.83333333
E16;E;RAW_DEMO_SAMPLE_1000;-24.40318874;0.87500000
F16;E;RAW_DEMO_SAMPLE_1000;-22.66137887;0.56250000
G16;E;RAW_DEMO_SAMPLE_1000;-17.55464827;0.16666667
H16;E;RAW_DEMO_SAMPLE_1000;-21.41348867;0.39583333
I16;E;RAW_DEMO_SAMPLE_1000;-25.58924545;0.95833333
J16;E;RAW_DEMO_SAMPLE_1000;-22.27724094;0.52083333
K16;E;RAW_DEMO_SAMPLE_1000;-22.22448232;0.50000000
L16;E;RAW_DEMO_SAMPLE_1000;-8.61929108;0.08333333
M16;E;RAW_DEMO_SAMPLE_1000;-22.69895835;0.58333333
N16;E;RAW_DEMO_SAMPLE_1000;-21.42961874;0.41666667
O16;E;RAW_DEMO_SAMPLE_1000;-18.05757327;0.18750000
P16;E;RAW_DEMO_SAMPLE_1000;-22.92811732;0.62500000
A17;E;RAW_DEMO_SAMPLE_1000;-23.55776682;0.79166667
B17;E;RAW_DEMO_SAMPLE_1000;-21.85125243;0.43750000
C17;E;RAW_DEMO_SAMPLE_1000;-24.46794607;0.89583333
D17;E;RAW_DEMO_SAMPLE_1000;-19.39474112;0.22916667
E17;E;RAW_DEMO_SAMPLE_1000;-19.57374120;0.29166667
F17;E;RAW_DEMO_SAMPLE_1000;-10.22797314;0.12500000
G17;E;RAW_DEMO_SAMPLE_1000;-23.36337295;0.70833333
H17;E;RAW_DEMO_SAMPLE_1000;-20.98659212;0.37500000
I17;E;RAW_DEMO_SAMPLE_1000;-25.45984561;0.91666667
J17;E;RAW_DEMO_SAMPLE_1000;-27.56107161;1.00000000
K17;E;RAW_DEMO_SAMPLE_1000;-23.48380269;0.72916667
L17;E;RAW_DEMO_SAMPLE_1000;-23.71851229;0.81250000
M17;E;RAW_DEMO_SAMPLE_1000;-23.11183165;0.66666667
N17;E;RAW_DEMO_SAMPLE_1000;-25.56683271;0.93750000
O17;E;RAW_DEMO_SAMPLE_1000;-23.50194567;0.75000000
P17;E;RAW_DEMO_SAMPLE_1000;-22.56353286;0.54166667
A18;E;RAW_DEMO_SAMPLE_1000;-23.16088057;0.68750000
B18;E;RAW_DEMO_SAMPLE_1000;-22.08102400;0.47916667
C18;E;RAW_DEMO_SAMPLE_1000;-7.34155799;0.02083333
D18;E;RAW_DEMO_SAMPLE_1000;-7.86419302;0.04166667
E18;E;RAW_DEMO_SAMPLE_1000;-19.47971099;0.27083333
F18;E;RAW_DEMO_SAMPLE_1000;-16.30054354;0.14583333
G18;E;RAW_DEMO_SAMPLE_1000;-22.95371778;0.64583333
H18;E;RAW_DEMO_SAMPLE_1000;-20.55949603;0.33333333
I18;E;RAW_DEMO_SAMPLE_1000;-21.88168039;0.45833333
J18;E;RAW_DEMO_SAMPLE_1000;-27.17622359;0.97916667
K18;E;RAW_DEMO_SAMPLE_1000;-22.74235009;0.60416667
L18;E;RAW_DEMO_SAMPLE_1000;-9.54098341;0.10416667
M18;E;RAW_DEMO_SAMPLE_1000;-24.36441786;0.85416667
N18;E;RAW_DEMO_SAMPLE_1000;-18.29714180;0.20833333
O18;E;RAW_DEMO_SAMPLE_1000;-8.42937287;0.06250000
P18;E;RAW_DEMO_SAMPLE_1000;-20.68547245;0.35416667
A19;F;RAW_DEMO_SAMPLE_10000;-23.18954677;0.62500000
B19;F;RAW_DEMO_SAMPLE_10000;-21.42842225;0.20833333
C19;F;RAW_DEMO_SAMPLE_10000;-21.80704294;0.22916667
D19;F;RAW_DEMO_SAMPLE_10000;-23.16719659;0.60416667
E19;F;RAW_DEMO_SAMPLE_10000;-23.86678815;0.72916667
F19;F;RAW_DEMO_SAMPLE_10000;-22.44077646;0.37500000
G19;F;RAW_DEMO_SAMPLE_10000;-23.07000116;0.58333333
H19;F;RAW_DEMO_SAMPLE_10000;-24.70344100;0.85416667
I19;F;RAW_DEMO_SAMPLE_10000;-25.58250526;0.93750000
J19;F;RAW_DEMO_SAMPLE_10000;-24.15225525;0.77083333
K19;F;RAW_DEMO_SAMPLE_10000;-24.43950126;0.81250000
L19;F;RAW_DEMO_SAMPLE_10000;-24.77650050;0.87500000
M19;F;RAW_DEMO_SAMPLE_10000;-20.91861879;0.08333333
N19;F;RAW_DEMO_SAMPLE_10000;-23.90836044;0.75000000
O19;F;RAW_DEMO_SAMPLE_10000;-21.88788886;0.25000000
P19;F;RAW_DEMO_SAMPLE_10000;-20.32291389;0.04166667
A20;F;RAW_DEMO_SAMPLE_10000;-19.94348867;0.02083333
B20;F;RAW_DEMO_SAMPLE_10000;-25.50629837;0.91666667
C20;F;RAW_DEMO_SAMPLE_10000;-22.77173373;0.54166667
D20;F;RAW_DEMO_SAMPLE_10000;-21.15858233;0.12500000
E20;F;RAW_DEMO_SAMPLE_10000;-22.72207855;0.47916667
F20;F;RAW_DEMO_SAMPLE_10000;-24.37973485;0.79166667
G20;F;RAW_DEMO_SAMPLE_10000;-21.96720082;0.27083333
H20;F;RAW_DEMO_SAMPLE_10000;-22.13981044;0.33333333
I20;F;RAW_DEMO_SAMPLE_10000;-25.96251118;0.95833333
J20;F;RAW_DEMO_SAMPLE_10000;-27.97156226;1.00000000
K20;F;RAW_DEMO_SAMPLE_10000;-25.12255352;0.89583333
L20;F;RAW_DEMO_SAMPLE_10000;-21.07647152;0.10416667
M20;F;RAW_DEMO_SAMPLE_10000;-26.66459312;0.97916667
N20;F;RAW_DEMO_SAMPLE_10000;-21.35685768;0.16666667
O20;F;RAW_DEMO_SAMPLE_10000;-22.74094358;0.50000000
P20;F;RAW_DEMO_SAMPLE_10000;-21.32423286;0.14583333
A21;F;RAW_DEMO_SAMPLE_10000;-20.82468188;0.06250000
B21;F;RAW_DEMO_SAMPLE_10000;-22.61802597;0.43750000
C21;F;RAW_DEMO_SAMPLE_10000;-22.29242883;0.35416667
D21;F;RAW_DEMO_SAMPLE_10000;-21.35980156;0.18750000
E21;F;RAW_DEMO_SAMPLE_10000;-22.56217648;0.41666667
F21;F;RAW_DEMO_SAMPLE_10000;-21.99717768;0.29166667
G21;F;RAW_DEMO_SAMPLE_10000;-22.91929228;0.56250000
H21;F;RAW_DEMO_SAMPLE_10000;-24.66743181;0.83333333
I21;F;RAW_DEMO_SAMPLE_10000;-22.75836115;0.52083333
J21;F;RAW_DEMO_SAMPLE_10000;-23.64594665;0.68750000
K21;F;RAW_DEMO_SAMPLE_10000;-23.59456734;0.66666667
L21;F;RAW_DEMO_SAMPLE_10000;-23.75042941;0.70833333
M21;F;RAW_DEMO_SAMPLE_10000;-23.38294906;0.64583333
N21;F;RAW_DEMO_SAMPLE_10000;-22.10351150;0.31250000
O21;F;RAW_DEMO_SAMPLE_10000;-22.53094358;0.39583333
P21;F;RAW_DEMO_SAMPLE_10000;-22.64561414;0.45833333
A22;G;RAW_DEMO_SAMPLE_100000;-19.70176656;0.20833333
B22;G;RAW_DEMO_SAMPLE_100000;-21.55030003;0.41666667
C22;G;RAW_DEMO_SAMPLE_100000;-24.45418751;0.85416667
D22;G;RAW_DEMO_SAMPLE_100000;-21.80648802;0.43750000
E22;G;RAW_DEMO_SAMPLE_100000;-23.99597079;0.81250000
F22;G;RAW_DEMO_SAMPLE_100000;-21.50114596;0.39583333
G22;G;RAW_DEMO_SAMPLE_100000;-23.57915643;0.79166667
H22;G;RAW_DEMO_SAMPLE_100000;-23.16836044;0.68750000
I22;G;RAW_DEMO_SAMPLE_100000;-22.13099392;0.52083333
J22;G;RAW_DEMO_SAMPLE_100000;-22.76215425;0.62500000
K22;G;RAW_DEMO_SAMPLE_100000;-26.32838622;0.95833333
L22;G;RAW_DEMO_SAMPLE_100000;-23.15422251;0.66666667
M22;G;RAW_DEMO_SAMPLE_100000;-23.51708699;0.77083333
N22;G;RAW_DEMO_SAMPLE_100000;-23.25171686;0.75000000
O22;G;RAW_DEMO_SAMPLE_100000;-20.24171698;0.27083333
P22;G;RAW_DEMO_SAMPLE_100000;-19.56698336;0.16666667
A23;G;RAW_DEMO_SAMPLE_100000;-19.38620500;0.14583333
B23;G;RAW_DEMO_SAMPLE_100000;-27.02949329;1.00000000
C23;G;RAW_DEMO_SAMPLE_100000;-21.93388804;0.45833333
D23;G;RAW_DEMO_SAMPLE_100000;-22.20931993;0.54166667
E23;G;RAW_DEMO_SAMPLE_100000;-26.54630783;0.97916667
F23;G;RAW_DEMO_SAMPLE_100000;-23.17619962;0.70833333
G23;G;RAW_DEMO_SAMPLE_100000;-22.67319838;0.60416667
H23;G;RAW_DEMO_SAMPLE_100000;-23.21225988;0.72916667
I23;G;RAW_DEMO_SAMPLE_100000;-24.61954154;0.87500000
J23;G;RAW_DEMO_SAMPLE_100000;-24.79752236;0.89583333
K23;G;RAW_DEMO_SAMPLE_100000;-26.26726537;0.93750000
L23;G;RAW_DEMO_SAMPLE_100000;-25.31605178;0.91666667
M23;G;RAW_DEMO_SAMPLE_100000;-22.49499011;0.56250000
N23;G;RAW_DEMO_SAMPLE_100000;-24.20577417;0.83333333
O23;G;RAW_DEMO_SAMPLE_100000;-20.74892072;0.33333333
P23;G;RAW_DEMO_SAMPLE_100000;-20.02584953;0.25000000
A24;G;RAW_DEMO_SAMPLE_100000;-21.94592530;0.47916667
B24;G;RAW_DEMO_SAMPLE_100000;-22.77515988;0.64583333
C24;G;RAW_DEMO_SAMPLE_100000;-21.46125243;0.37500000
D24;G;RAW_DEMO_SAMPLE_100000;-20.63444439;0.31250000
E24;G;RAW_DEMO_SAMPLE_100000;-18.38766393;0.10416667
F24;G;RAW_DEMO_SAMPLE_100000;-18.57370664;0.12500000
G24;G;RAW_DEMO_SAMPLE_100000;-21.14222007;0.35416667
H24;G;RAW_DEMO_SAMPLE_100000;-22.04297326;0.50000000
I24;G;RAW_DEMO_SAMPLE_100000;-17.85020908;0.08333333
J24;G;RAW_DEMO_SAMPLE_100000;-19.66019346;0.18750000
K24;G;RAW_DEMO_SAMPLE_100000;-22.49862185;0.58333333
L24;G;RAW_DEMO_SAMPLE_100000;-15.75917657;0.04166667
M24;G;RAW_DEMO_SAMPLE_100000;-13.30497143;0.02083333
N24;G;RAW_DEMO_SAMPLE_100000;-20.25857694;0.29166667
O24;G;RAW_DEMO_SAMPLE_100000;-19.75272219;0.22916667
P24;G;RAW_DEMO_SAMPLE_100000;-16.42568628;0.06250000
